cost record in iterations
53966448.796658
46804781.132344
43866591.972596
42465363.620689
41964399.717999
41654257.102339
41500248.320231
41303951.454761
41239856.046654
41208824.064259
41177922.208246
41137710.212477
41040619.671658
41003726.302650
