2024-01-27 17:21:42
メッシュの数:1000000
初期母点
-1.500000 0.000000
1.500000 0.000000
0.000000 1.400000
cost record in iterations
8487.837229
8393.881720
8388.730026
8387.686451
8387.352124
8387.242843
8387.207399
8387.194909
8387.190618
8387.189395
8387.189001
8387.188888
8387.188835
8387.188807
8387.188806
8387.188806
