cost record in iterations
6433.851184
5528.579228
4978.553939
4661.100562
4511.796259
4421.077598
4351.436209
4301.012457
4263.265016
4234.917817
4208.140218
4183.211130
4158.391103
4137.453294
4119.399751
4101.315540
4087.650767
4077.366500
4067.130344
4059.466335
4053.850030
4047.026811
4040.988846
4035.305969
4028.347198
4018.763733
4004.212504
3985.840086
3969.390498
3954.809582
3945.266643
3939.505251
3935.781417
3932.640015
3931.126985
3929.791493
3928.491749
3927.651818
3927.003409
3926.443843
3926.121287
3925.788805
3925.514698
3924.997365
3924.547170
3924.256877
3923.957600
3923.763162
3923.657406
3923.563847
3923.434082
3923.287385
3923.069135
3922.858621
3922.716123
3922.604412
3922.384989
3922.164152
3922.001422
3921.938948
3921.836797
3921.697378
3921.617635
3921.539819
3921.444914
3921.358816
3921.309159
3921.279870
3921.213431
3921.150036
3921.070640
3921.011252
3920.965695
3920.904409
3920.858499
3920.843349
3920.818481
3920.793688
3920.762905
3920.760838
