KEY_CODE,population
533902273,986
533902274,1900
533902281,2554
533902282,1753
533902283,2649
533902284,1707
533902291,232
533902293,1068
533902294,2
533902301,489
533902302,1241
533902303,1349
533902304,1136
533902311,2319
533902312,393
533902313,2044
533902314,982
533902321,382
533902322,656
533902323,1296
533902324,1233
533902331,992
533902332,1262
533902333,65
533902334,361
533902341,389
533902342,105
533902343,9
533902344,78
533902351,55
533902352,952
533902353,222
533902354,49
533902361,916
533902362,1031
533902363,13
533902371,32
533902372,641
533902373,334
533902374,1729
533902381,2111
533902382,1766
533902383,1955
533902384,1634
533902391,21
533902392,103
533902393,216
533902394,259
533902401,1179
533902402,1576
533902403,168
533902404,754
533902411,2517
533902412,2140
533902413,1562
533902414,1883
533902421,2162
533902422,1860
533902423,1994
533902424,1015
533902431,153
533902433,2
533902434,80
533902441,4
533902442,197
533902443,575
533902444,1410
533902451,404
533902452,15
533902453,317
533902454,110
533902461,76
533902462,30
533902463,437
533902464,550
533902471,217
533902472,2303
533902473,244
533902474,582
533902481,1142
533902482,1600
533902483,601
533902484,1189
533902491,1077
533902492,300
533902493,2269
533902494,26
533902502,581
533902503,4
533902504,62
533902511,1844
533902512,1849
533902513,982
533902514,997
533902521,2549
533902522,1518
533902523,3241
533902524,2324
533902531,9
533902532,497
533902534,49
533902541,2374
533902542,762
533902543,2121
533902544,698
533902551,653
533902552,476
533902553,762
533902554,103
533902561,135
533902562,338
533902563,54
533902564,68
533902571,500
533902572,276
533902573,137
533902574,4
533902581,678
533902582,252
533902583,48
533902584,483
533902591,2153
533902592,118
533902593,1243
533902602,85
533902604,44
533902612,622
533902613,65
533902614,650
533902621,2085
533902622,910
533902623,931
533902624,1165
533902631,4
533902632,2
533902633,731
533902641,355
533902642,2592
533902643,680
533902644,2182
533902651,1485
533902652,396
533902653,1908
533902654,1741
533902661,94
533902662,30
533902663,2094
533902664,384
533902671,367
533902672,97
533902673,387
533902674,200
533902681,188
533902682,241
533902683,499
533902684,249
533902691,1408
533902692,191
533902693,953
533902694,750
533902711,13
533902712,23
533902714,30
533902721,62
533902722,1184
533902723,55
533902724,324
533902731,975
533902732,4
533902733,1374
533902734,1457
533902741,2569
533902742,2726
533902743,2657
533902744,2497
533902751,3075
533902752,1392
533902753,2223
533902754,1962
533902761,1930
533902762,268
533902763,720
533902764,112
533902771,176
533902772,82
533902773,85
533902774,535
533902781,597
533902782,48
533902783,1034
533902784,31
533902791,3
533902792,710
533902793,1158
533902794,730
533902812,2
533902814,10
533902821,248
533902822,212
533902823,65
533902824,97
533902831,882
533902832,1190
533902833,324
533902834,852
533902841,2410
533902842,1424
533902843,2543
533902844,444
533902851,992
533902852,337
533902853,490
533902854,1101
533902861,28
533902862,51
533902863,613
533902864,89
533902871,3
533902872,857
533902873,337
533902874,814
533902881,386
533902882,143
533902883,118
533902884,233
533902891,951
533902892,77
533902893,622
533902894,86
533902913,116
533902914,26
533902922,109
533902923,55
533902924,305
533902931,941
533902932,447
533902933,50
533902934,231
533902941,797
533902942,56
533902943,345
533902944,74
533902951,91
533902952,1404
533902953,129
533902954,597
533902961,1344
533902962,1534
533902963,2252
533902964,2499
533902971,3820
533902972,1893
533902973,3051
533902974,2610
533902981,357
533902982,92
533902983,270
