2024-01-27 14:56:32
初期母点
42.595533 63.283350
26.902144 6.529244
4.060528 40.771855
70.801631 78.408323
21.466973 96.607104
37.202531 69.537990
32.889850 0.479556
47.341611 19.996884
22.166164 86.412222
15.761964 65.541455
cost record in iterations
3314080.959373
2875468.962581
2721043.248788
2688397.484741
2683892.682206
2677057.502309
2665415.939034
2651531.791438
2632457.765370
2607725.568255
2598193.045996
2591576.968067
2582877.798092
2576110.539381
2565594.057362
2554776.226234
2547130.933495
2544074.416934
2542405.396991
2540075.765777
2539321.107315
局所最適点
57.708635 52.515259
15.789460 10.526235
16.678983 35.799393
88.880480 58.638718
43.925520 86.076724
78.035614 89.031082
47.368436 15.789503
85.086443 18.933709
13.331926 90.266189
15.735820 63.208911
cost record
3855887.959734
2539321.107315
