cost record in iterations
228291.084459
206662.564930
196436.432520
192017.881762
189193.770775
186755.104774
185169.150744
184279.867369
183878.946472
183671.546947
183541.716955
183459.257134
183400.595874
183352.089998
183311.018364
183250.330543
183212.244161
183156.676422
183112.691060
183067.959798
183018.285091
182967.012409
182897.751750
182846.009384
182782.278882
182716.929390
182643.405310
182550.080945
182441.657743
182338.822518
182239.259043
182123.070860
182027.413592
181917.327773
181840.547830
181771.653788
181709.652663
181652.717214
181603.557707
181564.626831
181522.931304
181489.847705
181454.711484
181421.600832
181388.014929
181347.735609
181303.396552
181256.917735
181213.236306
181170.758281
181141.870255
181111.773696
181090.098144
181067.173593
181046.817093
181033.581113
181025.582522
181017.339101
181009.193203
181003.875557
181000.551700
180996.449858
180991.640805
180990.832669
180988.891152
180987.287621
180986.115620
180984.180729
180980.912805
180978.038599
180974.792474
180971.650872
180969.513473
180967.948840
180964.773790
180958.828755
180954.772487
180949.874552
180945.395311
180939.691386
180931.272319
180924.283641
180912.365287
180896.741771
180878.388266
180864.835456
180850.810508
180830.117400
180814.949121
180800.379687
180787.987023
180775.081462
180764.653656
180753.489258
180744.772545
180735.878343
180730.247431
180725.405368
180723.062207
180720.286671
