cost record in iterations
12495.881986
10286.379066
9581.714832
9352.256261
9276.338350
9250.999080
9242.558032
9239.767505
9238.796230
9238.475672
9238.367993
9238.332787
9238.319903
9238.315368
9238.314215
9238.313859
9238.313707
9238.313683
9238.313658
9238.313635
9238.313622
9238.313615
9238.313607
9238.313605
9238.313605
9238.313605
