cost record in iterations
8738.691538
8499.998422
8424.609422
8399.823409
8391.414837
8388.608958
8387.671335
8387.359272
8387.256513
8387.220984
8387.208987
8387.204721
8387.203398
8387.203075
8387.202972
8387.202959
8387.202935
8387.202916
8387.202916
8387.202916
