cost record in iterations
10449.668166
9583.707350
9351.446611
9275.952764
9250.877781
9242.514932
9239.711418
9238.776611
9238.471072
9238.366988
9238.331360
9238.320692
9238.317679
9238.313154
9238.312478
9238.312428
9238.312401
9238.312389
9238.312361
9238.312349
9238.312345
9238.312345
