cost record in iterations
63468057.430760
47768028.410138
43807774.774380
42431429.587935
41268657.412813
40704383.566081
40373370.433151
40182963.788741
39952216.115955
39745642.549755
39632787.442704
39591002.576918
39511069.472807
39454327.697267
39446273.891409
39359257.683492
39280245.251655
39261249.212227
39243435.606970
