cost record in iterations
3345348.868664
2899457.601104
2707779.551351
2624955.748291
2584027.139470
2568101.757220
2560884.936922
2555905.892359
2545984.141013
2538782.410109
2523179.073354
2511215.111918
2500840.245469
2496588.760779
2494949.383666
2494341.086899
2492708.398525
2490993.002924
2490695.633523
