139.845555 35.670186
139.694738 35.670305
局所最適点
139.757616 35.729803
139.846069 35.762946
139.796923 35.724396
139.613010 35.699847
139.869793 35.668636
139.732667 35.621537
139.791515 35.669395
139.613187 35.653738
139.687631 35.769651
139.722599 35.565054
139.589920 35.744080
139.652030 35.630441
139.881016 35.718036
139.725918 35.755282
139.724711 35.700047
139.643262 35.768987
139.791153 35.782613
139.691783 35.593593
139.687769 35.722591
139.645098 35.723830
139.697467 35.639888
139.829107 35.691976
139.668675 35.681308
optimized cost
180715.704676
2024-01-29 05:23:01
7回目，np.seedIndex=6
初期母点
139.838002 35.755489
139.745510 35.615405
139.600136 35.715705
139.741076 35.739933
139.711948 35.742535
139.681809 35.750479
139.818947 35.653502
139.761492 35.720513
139.657895 35.688404
139.841010 35.721422
139.627940 35.750071
139.841434 35.661303
139.628134 35.599291
139.790476 35.622796
139.885412 35.697142
139.660262 35.713851
139.708114 35.783184
139.872853 35.678663
139.793372 35.724478
139.841651 35.794094
139.608527 35.640344
139.780524 35.626081
139.776747 35.572422
局所最適点
139.847077 35.766084
139.720315 35.607288
139.587567 35.742807
139.749583 35.730571
139.674018 35.719741
139.677374 35.772307
139.791485 35.697509
139.720187 35.703031
139.669746 35.674613
139.825841 35.720231
139.635948 35.757349
139.830446 35.685756
139.671585 35.620807
139.792298 35.661285
139.881975 35.717682
139.620778 35.703544
139.717206 35.757287
139.869702 35.668505
139.789272 35.735427
139.790711 35.783638
139.618563 35.649552
139.727962 35.647222
139.715805 35.565652
optimized cost
182841.089525
2024-01-29 05:23:14
8回目，np.seedIndex=7
初期母点
139.697150 35.587712
139.795280 35.568109
139.760765 35.641422
139.617400 35.676859
139.611249 35.658411
139.727356 35.756713
139.637141 35.605810
139.788230 35.786927
139.773131 35.649170
139.643277 35.579448
139.692545 35.754032
139.654218 35.695400
139.791674 35.643099
139.764323 35.565697
139.617880 35.601490
139.804120 35.656898
139.694244 35.696390
139.735955 35.624942
139.838314 35.724749
139.673229 35.693606
139.757559 35.768784
139.725437 35.739285
139.645595 35.672241
局所最適点
139.694537 35.580333
139.732132 35.602935
139.732409 35.652623
139.592205 35.745428
139.617163 35.703142
139.717651 35.761287
139.638515 35.636667
139.793436 35.782876
