139.845555 35.670186
139.694738 35.670305
局所最適点
139.786580 35.728822
139.842697 35.768647
139.825285 35.697314
139.612576 35.696032
139.890923 35.699958
139.735209 35.625165
139.791633 35.668454
139.613090 35.650886
139.695971 35.769479
139.722862 35.564993
139.590823 35.744152
139.653398 35.627991
139.867943 35.733970
139.736090 35.749233
139.731389 35.702544
139.647536 35.769305
139.789186 35.785001
139.693693 35.593788
139.688353 35.722729
139.643870 35.723779
139.699526 35.641858
139.866826 35.666728
139.667818 35.680152
optimized cost
3877.784651
2024-01-29 05:22:33
7回目，np.seedIndex=6
初期母点
139.838002 35.755489
139.745510 35.615405
139.600136 35.715705
139.741076 35.739933
139.711948 35.742535
139.681809 35.750479
139.818947 35.653502
139.761492 35.720513
139.657895 35.688404
139.841010 35.721422
139.627940 35.750071
139.841434 35.661303
139.628134 35.599291
139.790476 35.622796
139.885412 35.697142
139.660262 35.713851
139.708114 35.783184
139.872853 35.678663
139.793372 35.724478
139.841651 35.794094
139.608527 35.640344
139.780524 35.626081
139.776747 35.572422
局所最適点
139.848793 35.768388
139.722307 35.607176
139.587388 35.743091
139.744015 35.743488
139.674814 35.716929
139.670597 35.773164
139.791069 35.699329
139.726685 35.705711
139.669761 35.669625
139.834569 35.726873
139.634509 35.753974
139.829208 35.687405
139.671433 35.617165
139.791837 35.660550
139.885577 35.714865
139.619651 35.701368
139.709277 35.760523
139.869972 35.668738
139.787419 35.735838
139.790768 35.784960
139.617851 35.647921
139.726630 35.647945
139.715158 35.565461
optimized cost
3982.360195
2024-01-29 05:22:44
8回目，np.seedIndex=7
初期母点
139.697150 35.587712
139.795280 35.568109
139.760765 35.641422
139.617400 35.676859
139.611249 35.658411
139.727356 35.756713
139.637141 35.605810
139.788230 35.786927
139.773131 35.649170
139.643277 35.579448
139.692545 35.754032
139.654218 35.695400
139.791674 35.643099
139.764323 35.565697
139.617880 35.601490
139.804120 35.656898
139.694244 35.696390
139.735955 35.624942
139.838314 35.724749
139.673229 35.693606
139.757559 35.768784
139.725437 35.739285
139.645595 35.672241
局所最適点
139.691860 35.585266
139.729267 35.606328
139.733436 35.651776
139.589149 35.744075
139.623368 35.704830
139.740673 35.757710
139.623751 35.637113
139.799028 35.783564
