2024-01-27 16:43:34
メッシュの数:1000000
初期母点
-1.500000 0.000000
1.500000 0.000000
0.000000 1.400000
cost record in iterations
9539.734923
9259.355663
9243.065490
9239.804845
9238.792731
9238.453434
9238.341598
9238.303503
9238.290023
9238.285546
9238.284505
9238.283893
9238.283818
9238.283700
9238.283648
9238.283640
9238.283640
